"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2025-06-05","93.2","2.07","5.99","Ohtani, Shohei",660271,656849,"strikeout","called_strike",,,,,4,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","S",2,,3,2,2025,"1.08","0.61","-0.6","2.32",,,,2,7,"Bot",,,,,,,-9.407307377772074,-135.43164270351897,-5.153811923738868,15.272716451618667,26.328182316954106,-23.682495795347076,"3.5","1.67",,,,"95.3",2173,"7.4",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.15",,0,"0",1,0,0,,63,8,"Sinker",3,4,3,4,4,3,3,4,"Infield shade","Standard",151,"-0.023","-0.325",,,,"0.325",,-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"1.99","1.08","1.08",,,,,,
"FF","2025-06-05","93.6","2.34","5.88","Ohtani, Shohei",660271,656849,,"foul",,,,,5,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","S",,,3,2,2025,"0.03","0.98","-0.17","2.69",,,,2,7,"Bot",,,,,,,-6.678152296768429,-136.32947780817233,-4.850254353061774,1.6374090494597435,25.724235783232576,-19.021108248193787,"3.56","1.63",223,"78.1",25,"96.1",2133,"7.3",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.15",,,,,,,,63,7,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Infield shade","Standard",144,"0","0","68.0","7.3",,"0","88.0",-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"1.58","0.03","0.03",,-3.694856763249524,20.74257717320495,32.2553082586291,44.97397830365813,10.043535097112542
"SL","2025-06-05","85.9","2.64","5.86","Ohtani, Shohei",660271,656849,,"ball",,,,,13,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","B",,,2,2,2025,"0.04","-0.05","-0.85","0.61",,,,2,7,"Bot",,,,,,,-8.481942560435108,-124.85948566876642,-6.259588228143105,1.7907729078184509,19.894013904423648,-31.872108005599653,"3.52","1.65",,,,"88.1",2387,"7.2",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.26",,,,,,,,63,6,"Slider",3,4,3,4,4,3,3,4,"Infield shade","Standard",314,"0","0.106",,,,"-0.106",,-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"3.1","0.04","0.04",,,,,,
"SL","2025-06-05","86.4","2.44","5.87","Ohtani, Shohei",660271,656849,,"foul",,,,,7,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","S",,,2,2,2025,"-0.23","-0.07","-0.29","1.61",,,,2,7,"Bot",,,,,,,-6.122099784328044,-125.82142157765153,-3.9577732553055265,-1.5061136530501684,20.814352158209687,-32.412938211989356,"3.56","1.63",1,"69",-44,"88.4",2350,"7.1",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.39",,,,,,,,63,5,"Slider",3,4,3,4,4,3,3,4,"Infield shade","Standard",317,"0","0","69.2","8.1",,"0","88.0",-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"3.07","-0.23","-0.23",,12.671379883145367,2.8993668327040845,37.11285864414103,45.97240326318827,23.72906648787144
"FF","2025-06-05","93.5","2.2","5.98","Ohtani, Shohei",660271,656849,,"swinging_strike",,,,,3,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","S",,,2,1,2025,"0.26","1.01","0.64","3.56",,,,2,7,"Bot",,,,,,,-4.695105661873232,-136.21933124753664,-2.8237291076335875,4.146919983836229,26.362883876411367,-19.125105117511815,"3.56","1.63",,,,"95.7",2206,"7.2",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.29",,,,,,,,63,4,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Infield shade","Standard",149,"0","-0.084","76.8","6.8",,"0.084",,-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"1.57","0.26","0.26",,8.117817715375594,16.476098267283913,32.61833994458212,34.411684091477824,16.7220954341567
"SL","2025-06-05","85.4","2.59","5.89","Ohtani, Shohei",660271,656849,,"ball",,,,,13,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","B",,,1,1,2025,"-0.1","-0.4","-0.24","0.85",,,,2,7,"Bot",,,,,,,-6.565825848323977,-124.3051845847415,-4.889825873418976,0.16830672056802143,22.85064072732407,-35.6502275814597,"3.51","1.65",,,,"87",2354,"7.1",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.37",,,,,,,,63,3,"Slider",3,4,3,4,4,3,3,4,"Infield shade","Standard",317,"0","0.058",,,,"-0.058",,-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"3.51","-0.1","-0.1",,,,,,
"SL","2025-06-05","87.1","2.46","5.89","Ohtani, Shohei",660271,656849,,"ball",,,,,13,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","B",,,0,1,2025,"-0.08","0.28","-1.16","0.73",,,,2,7,"Bot",,,,,,,-8.6448171255421,-126.53803948850178,-6.950052295595909,0.6532584558876124,22.127003237204903,-28.08443639862005,"3.51","1.63",,,,"88.8",2297,"7.1",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.37",,,,,,,,63,2,"Slider",3,4,3,4,4,3,3,4,"Infield shade","Standard",358,"0","0.029",,,,"-0.029",,-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"2.7","-0.08","-0.08",,,,,,
"SL","2025-06-05","86","2.28","5.95","Ohtani, Shohei",660271,656849,,"called_strike",,,,,7,"Shohei Ohtani called out on strikes.","R","L","L","LAD","NYM","S",,,0,0,2025,"-0.18","0.24","-0.6","2.15",,,,2,7,"Bot",,,,,,,-6.577517722952622,-125.27387617462153,-3.4422096531704653,-0.8526507928973903,19.831545607897237,-29.168136319278766,"3.5","1.67",,,,"88.2",2285,"7.1",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.36",,,,,,,,63,1,"Slider",3,4,3,4,4,3,3,4,"Infield shade","Standard",303,"0","-0.041",,,,"0.041",,-1,-1,"0.27","0.27",29,30,30,31,4,3,,,,,"2.78","-0.18","-0.18",,,,,,
"SI","2025-06-05","92.5","2.32","6.1","Ohtani, Shohei",660271,656849,"single","hit_into_play",,,,,14,"Shohei Ohtani singles on a sharp ground ball to right fielder Juan Soto.","R","L","L","LAD","NYM","X",9,"ground_ball",0,0,2025,"1.05","0.7","0.84","1.92",,,,1,5,"Bot",178.33,120.2,,,,,-6.15229170399901,-134.46753732030834,-6.4536117603672265,14.058996683326487,29.676706815932878,-22.423978484607247,"3.56","1.63",9,"102",-11,"93.8",2004,"7.1",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.36",0.209,0.207,"0.9",1,1,0,2,47,1,"Sinker",3,4,3,4,4,3,3,4,"Infield shade","Standard",146,"0.039","0.422","73.9","7.7",0.21,"-0.422","102.0",-1,-1,"0.373","0.373",29,30,30,31,3,2,,,,,"1.97","1.05","1.05",,9.240943613455276,7.251824215233319,43.85415860243675,31.621778913471694,26.844648164840365
"SI","2025-06-05","91.3","2.38","6.01","Ohtani, Shohei",660271,656849,"single","hit_into_play",,,,,14,"Shohei Ohtani singles on a ground ball to center fielder Tyrone Taylor. Miguel Rojas to 3rd.","R","L","L","LAD","NYM","X",8,"ground_ball",1,0,2025,"1.17","0.53","1.28","2.07",,,500743,1,3,"Bot",137.25,128.82,,,,,-5.369316806566003,-132.73820465996215,-5.190083393208319,15.015041145620614,30.455279341604214,-24.924293253149546,"3.56","1.63",6,"86.9",-19,"92.2",2070,"7.1",777631,682626,624413,643446,683146,682668,607043,621438,665742,"53.44",0.086,0.081,"0.9",1,1,0,2,27,2,"Sinker",0,4,0,4,4,0,0,4,"Infield shade","Standard",150,"0.049","0.369","70.9","7.0",0.087,"-0.369","88.0",-4,-4,"0.154","0.154",29,30,30,31,2,1,,,,,"2.22","1.17","1.17",,-7.114417803987949,16.842031405734954,46.081255287279205,25.502900809721805,16.84467988098224
